Year,Country,Attribute,Sector (NACE rev. 2),Unit,Value
2008,Austria,Apparent labour productivity,Agriculture,1000 EUR per person,16.15345842
2008,Austria,Apparent labour productivity,Beverage,1000 EUR per person,102.8969723
2008,Austria,Apparent labour productivity,Bio-based chemicals (excluding biofuels),1000 EUR per person,110.1306452
2008,Austria,Apparent labour productivity,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",1000 EUR per person,110.3220901
2008,Austria,Apparent labour productivity,Bio-based electricity,1000 EUR per person,254.0912066
2008,Austria,Apparent labour productivity,Bio-based pharmaceuticals,1000 EUR per person,111.7574609
2008,Austria,Apparent labour productivity,Bio-based textile,1000 EUR per person,46.52838641
2008,Austria,Apparent labour productivity,Bio-based textiles,1000 EUR per person,45.00940338
2008,Austria,Apparent labour productivity,Bio-based wearing apparel,1000 EUR per person,38.10212482
2008,Austria,Apparent labour productivity,Biodiesel,1000 EUR per person,105.9572007
2008,Austria,Apparent labour productivity,Bioeconomy,1000 EUR per person,37.90131407
2008,Austria,Apparent labour productivity,Fishing and Aquaculture,1000 EUR per person,33.33333333
2008,Austria,Apparent labour productivity,Food,1000 EUR per person,49.04650043
2008,Austria,Apparent labour productivity,"Food, beverage and tobacco",1000 EUR per person,55.40858735
2008,Austria,Apparent labour productivity,Forestry,1000 EUR per person,40.97379742
2008,Austria,Apparent labour productivity,Leather,1000 EUR per person,49.43104233
2008,Austria,Apparent labour productivity,Liquid biofuels,1000 EUR per person,105.9572007
2008,Austria,Apparent labour productivity,Paper,1000 EUR per person,86.58879515
2008,Austria,Apparent labour productivity,Rubber and bio-based plastics,1000 EUR per person,67.46442879
2008,Austria,Apparent labour productivity,Wood products,1000 EUR per person,55.96406129
2008,Austria,Apparent labour productivity,Wood products and furniture,1000 EUR per person,52.67535135
2008,Austria,Apparent labour productivity,Wooden furniture,1000 EUR per person,38.53369849
2008,Austria,Location Quotient,Agriculture,Ratio,0.760072392
2008,Austria,Location Quotient,Beverage,Ratio,1.02775065
2008,Austria,Location Quotient,Bio-based chemicals (excluding biofuels),Ratio,1.264765248
2008,Austria,Location Quotient,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Ratio,1.101181178
2008,Austria,Location Quotient,Bio-based electricity,Ratio,2.190846167
2008,Austria,Location Quotient,Bio-based pharmaceuticals,Ratio,1.250984989
2008,Austria,Location Quotient,Bio-based textile,Ratio,0.894676686
2008,Austria,Location Quotient,Bio-based textiles,Ratio,0.499482133
2008,Austria,Location Quotient,Bio-based wearing apparel,Ratio,0.265539462
2008,Austria,Location Quotient,Biodiesel,Ratio,3.392962535
2008,Austria,Location Quotient,Bioeconomy,Ratio,0.880520302
2008,Austria,Location Quotient,Bioethanol,Ratio,0
2008,Austria,Location Quotient,Fishing and Aquaculture,Ratio,0.084286348
2008,Austria,Location Quotient,Food,Ratio,0.864439455
2008,Austria,Location Quotient,"Food, beverage and tobacco",Ratio,0.871929073
2008,Austria,Location Quotient,Forestry,Ratio,2.414205987
2008,Austria,Location Quotient,Leather,Ratio,0.547952966
2008,Austria,Location Quotient,Liquid biofuels,Ratio,2.125857643
2008,Austria,Location Quotient,Paper,Ratio,1.389352044
2008,Austria,Location Quotient,Rubber and bio-based plastics,Ratio,0.174672397
2008,Austria,Location Quotient,Tobacco,Ratio,0
2008,Austria,Location Quotient,Wood products,Ratio,1.582997165
2008,Austria,Location Quotient,Wood products and furniture,Ratio,1.345663323
2008,Austria,Location Quotient,Wooden furniture,Ratio,0.81818424
2008,Austria,Number of persons employed,Agriculture,Number of people employed,178550
2008,Austria,Number of persons employed,Beverage,Number of people employed,9182
2008,Austria,Number of persons employed,Bio-based chemicals (excluding biofuels),Number of people employed,2369.137064
2008,Austria,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Number of people employed,8830.110207
2008,Austria,Number of persons employed,Bio-based electricity,Number of people employed,570.2959464
2008,Austria,Number of persons employed,Bio-based pharmaceuticals,Number of people employed,6261.837237
2008,Austria,Number of persons employed,Bio-based textile,Number of people employed,5526.377052
2008,Austria,Number of persons employed,Bio-based textiles,Number of people employed,11468.4815
2008,Austria,Number of persons employed,Bio-based wearing apparel,Number of people employed,3060.161171
2008,Austria,Number of persons employed,Biodiesel,Number of people employed,619.0648324
2008,Austria,Number of persons employed,Bioeconomy,Number of people employed,366810.946
2008,Austria,Number of persons employed,Bioethanol,Number of people employed,0
2008,Austria,Number of persons employed,Fishing and Aquaculture,Number of people employed,330
2008,Austria,Number of persons employed,Food,Number of people employed,68537
2008,Austria,Number of persons employed,"Food, beverage and tobacco",Number of people employed,77719
2008,Austria,Number of persons employed,Forestry,Number of people employed,25570
2008,Austria,Number of persons employed,Leather,Number of people employed,2881.943281
2008,Austria,Number of persons employed,Liquid biofuels,Number of people employed,619.0648324
2008,Austria,Number of persons employed,Paper,Number of people employed,18456.12585
2008,Austria,Number of persons employed,Rubber and bio-based plastics,Number of people employed,199.1359065
