FREQ,TIME_FORMAT,TIME_PERIOD,SECTPERF,UNIT,GEO,OBS_STATUS,OBS_VALUE,SHARE,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,OBS_STATUS_DESC,SECTPERF_DESC,UNIT_DESC,GEO_DESC
A,P1Y,2000,GOV,MIO_NAC,NL,b,974,0.12,Annual,Annual,Year 2000,break in time series,Government sector,Million units of national currency,Netherlands
A,P1Y,2000,TOTAL,MIO_NAC,FR,b,30953.6,1,Annual,Annual,Year 2000,break in time series,All sectors,Million units of national currency,France
A,P1Y,2000,HES,MIO_NAC,FR,b,5804.36,0.188,Annual,Annual,Year 2000,break in time series,Higher education sector,Million units of national currency,France
A,P1Y,2000,GOV,MIO_NAC,FR,b,5361.43,0.173,Annual,Annual,Year 2000,break in time series,Government sector,Million units of national currency,France
A,P1Y,2000,GOV,MIO_EUR,NL,b,974,0.12,Annual,Annual,Year 2000,break in time series,Government sector,Million euro,Netherlands
A,P1Y,2000,TOTAL,MIO_EUR,FR,b,30953.6,1,Annual,Annual,Year 2000,break in time series,All sectors,Million euro,France
A,P1Y,2000,HES,MIO_EUR,FR,b,5804.36,0.188,Annual,Annual,Year 2000,break in time series,Higher education sector,Million euro,France
A,P1Y,2000,GOV,MIO_EUR,FR,b,5361.43,0.173,Annual,Annual,Year 2000,break in time series,Government sector,Million euro,France
A,P1Y,2000,GOV,PC_GDP,NL,b,0.22,0.123,Annual,Annual,Year 2000,break in time series,Government sector,Percentage of GDP,Netherlands
A,P1Y,2000,HES,PC_GDP,FR,b,0.39,0.187,Annual,Annual,Year 2000,break in time series,Higher education sector,Percentage of GDP,France
A,P1Y,2000,GOV,PC_GDP,FR,b,0.36,0.172,Annual,Annual,Year 2000,break in time series,Government sector,Percentage of GDP,France
A,P1Y,2000,TOTAL,MIO_NAC,HU,d,105387.6,1,Annual,Annual,Year 2000,"definition differs, see metadata",All sectors,Million units of national currency,Hungary
A,P1Y,2000,HES,MIO_NAC,HU,d,25310.4,0.24,Annual,Annual,Year 2000,"definition differs, see metadata",Higher education sector,Million units of national currency,Hungary
A,P1Y,2000,GOV,MIO_NAC,HU,d,27494.1,0.261,Annual,Annual,Year 2000,"definition differs, see metadata",Government sector,Million units of national currency,Hungary
A,P1Y,2000,BES,MIO_NAC,HU,d,46703.5,0.443,Annual,Annual,Year 2000,"definition differs, see metadata",Business enterprise sector,Million units of national currency,Hungary
A,P1Y,2000,TOTAL,MIO_EUR,HU,d,405.275,1,Annual,Annual,Year 2000,"definition differs, see metadata",All sectors,Million euro,Hungary
A,P1Y,2000,HES,MIO_EUR,HU,d,97.333,0.24,Annual,Annual,Year 2000,"definition differs, see metadata",Higher education sector,Million euro,Hungary
A,P1Y,2000,GOV,MIO_EUR,HU,d,105.73,0.261,Annual,Annual,Year 2000,"definition differs, see metadata",Government sector,Million euro,Hungary
A,P1Y,2000,BES,MIO_EUR,HU,d,179.601,0.443,Annual,Annual,Year 2000,"definition differs, see metadata",Business enterprise sector,Million euro,Hungary
A,P1Y,2000,TOTAL,PC_GDP,HU,d,0.79,1,Annual,Annual,Year 2000,"definition differs, see metadata",All sectors,Percentage of GDP,Hungary
